SUBDIVISION,YEAR,ANNUAL RAINFALL
Haryana Delhi & Chandigarh,2000,384.4
Haryana Delhi & Chandigarh,2001,485.5
Haryana Delhi & Chandigarh,2002,357.2
Haryana Delhi & Chandigarh,2003,597.6
Haryana Delhi & Chandigarh,2004,487.3
Haryana Delhi & Chandigarh,2005,519.5
Haryana Delhi & Chandigarh,2006,330.9
Haryana Delhi & Chandigarh,2007,446.6
Haryana Delhi & Chandigarh,2008,710.4
Haryana Delhi & Chandigarh,2009,395.4
Haryana Delhi & Chandigarh,2010,640.5
Haryana Delhi & Chandigarh,2011,512
Haryana Delhi & Chandigarh,2012,391.4
Haryana Delhi & Chandigarh,2013,461.2
Haryana Delhi & Chandigarh,2014,305.5
Haryana Delhi & Chandigarh,2015,435.3
Haryana Delhi & Chandigarh,2016,398.7
Haryana Delhi & Chandigarh,2017,421.6
Punjab,2000,405.3
Punjab,2001,441
Punjab,2002,274.7
Punjab,2003,424.6
Punjab,2004,351.7
Punjab,2005,552
Punjab,2006,647.7
Punjab,2007,594.8
Punjab,2008,717.1
Punjab,2009,361.2
Punjab,2010,451.5
Punjab,2011,705.2
Punjab,2012,493.6
Punjab,2013,586.6
Punjab,2014,382.7
Punjab,2015,510.8
Punjab,2016,444
Punjab,2017,497.5
Himachal Pradesh,2000,1068.4
Himachal Pradesh,2001,991.8
Himachal Pradesh,2002,990.4
Himachal Pradesh,2003,1034.5
Himachal Pradesh,2004,878.5
Himachal Pradesh,2005,1248.5
Himachal Pradesh,2006,1218.4
Himachal Pradesh,2007,1034.5
Himachal Pradesh,2008,1114.2
Himachal Pradesh,2009,956.5
